ID,sp,year,location,N_eggs,N_hatched
08-391,cristinae,2008,matrix,44,0
08-392,cristinae,2008,matrix,15,0
08-393,cristinae,2008,matrix,20,0
08-394,cristinae,2008,matrix,32,0
08-395,cristinae,2008,matrix,57,1
08-396,cristinae,2008,matrix,41,2
08-439,cristinae,2008,matrix,28,0
08-440,cristinae,2008,matrix,45,0
08-441,cristinae,2008,matrix,46,2
08-442,cristinae,2008,matrix,40,1
08-443,cristinae,2008,outlook,46,0
08-130,cristinae,2008,PRC,15,0
08-385,cristinae,2008,PRC,46,3
08-386,cristinae,2008,PRC,31,0
08-387,cristinae,2008,PRC,35,0
08-388,cristinae,2008,PRC,17,0
08-389,cristinae,2008,PRC,21,0
08-390,cristinae,2008,PRC,21,0
08-178,cristinae,2008,WTA,32,0
08-179,cristinae,2008,WTA,33,0
08-195,cristinae,2008,WTA,18,0
08-196,cristinae,2008,WTA,67,0
08-197,cristinae,2008,WTA,57,0
08-228,cristinae,2008,WTA,27,0
08-229,cristinae,2008,WTA,14,0
08-230,cristinae,2008,WTA,37,0
08-231,cristinae,2008,WTA,21,1
08-232,cristinae,2008,WTA,6,0
08-233,cristinae,2008,WTA,18,0
08-234,cristinae,2008,WTA,31,0
08-235,cristinae,2008,WTA,64,0
08-236,cristinae,2008,WTA,77,0
08-237,cristinae,2008,WTA,81,0
08-238,cristinae,2008,WTA,50,0
08-355,cristinae,2008,WTA + outl(?),13,0
08-356,cristinae,2008,WTA + outl(?),14,0
08-360,cristinae,2008,WTA + outl(?),42,0
08-361,cristinae,2008,WTA + outl(?),29,3
08-362,cristinae,2008,WTA + outl(?),45,2
08-363,cristinae,2008,WTA + outl(?),9,0
08-364,cristinae,2008,WTA + outl(?),4,0
08-365,cristinae,2008,WTA + outl(?),32,0
08-366,cristinae,2008,WTA + outl(?),3,0
08-368,cristinae,2008,WTA + outl(?),6,0
08-369,cristinae,2008,WTA + outl(?),6,0
08-370,cristinae,2008,WTA + outl(?),2,0
08-371,cristinae,2008,WTA + outl(?),9,0
08-374,cristinae,2008,WTA + outl(?),14,1
08-375,cristinae,2008,WTA + outl(?),11,0
08-376,cristinae,2008,WTA + outl(?),21,0
08-377,cristinae,2008,WTA + outl(?),17,0
08-378,cristinae,2008,WTA + outl(?),18,0
08-379,cristinae,2008,WTA + outl(?),10,0
08-380,cristinae,2008,WTA + outl(?),6,0
08-381,cristinae,2008,WTA + outl(?),15,0
08-384,cristinae,2008,WTA + outl(?),9,0
08-397,cristinae,2008,WTA + outl(?),1,0
08-398,cristinae,2008,WTA + outl(?),31,0
08-399,cristinae,2008,WTA + outl(?),28,0
08-400,cristinae,2008,WTA + outl(?),6,0
08-401,cristinae,2008,WTA + outl(?),32,0
08-403,cristinae,2008,WTA + outl(?),49,0
08-404,cristinae,2008,WTA + outl(?),17,0
08-405,cristinae,2008,WTA + outl(?),33,0
08-406,cristinae,2008,WTA + outl(?),6,0
08-407,cristinae,2008,WTA + outl(?),36,0
08-408,cristinae,2008,WTA + outl(?),26,0
08-409,cristinae,2008,WTA + outl(?),59,1
08-410,cristinae,2008,WTA + outl(?),34,0
08-411,cristinae,2008,WTA + outl(?),50,0
08-412,cristinae,2008,WTA + outl(?),19,0
08-413,cristinae,2008,WTA + outl(?),31,0
08-414,cristinae,2008,WTA + outl(?),16,0
08-415,cristinae,2008,WTA + outl(?),42,0
08-416,cristinae,2008,WTA + outl(?),13,0
08-417,cristinae,2008,WTA + outl(?),10,0
08-418,cristinae,2008,WTA + outl(?),46,0
08-419,cristinae,2008,WTA + outl(?),23,0
08-420,cristinae,2008,WTA + outl(?),21,0
08-421,cristinae,2008,WTA + outl(?),23,0
08-422,cristinae,2008,WTA + outl(?),33,0
08-423,cristinae,2008,WTA + outl(?),0,0
08-424,cristinae,2008,WTA + outl(?),26,0
08-425,cristinae,2008,WTA + outl(?),5,0
08-426,cristinae,2008,WTA + outl(?),41,0
08-427,cristinae,2008,WTA + outl(?),53,0
08-428,cristinae,2008,WTA + outl(?),10,0
08-429,cristinae,2008,WTA + outl(?),25,0
08-430,cristinae,2008,WTA + outl(?),26,0
08-431,cristinae,2008,WTA + outl(?),28,0
08-432,cristinae,2008,WTA + outl(?),34,0
08-433,cristinae,2008,WTA + outl(?),26,0
08-434,cristinae,2008,WTA + outl(?),58,0
08-435,cristinae,2008,WTA + outl(?),27,1
08-436,cristinae,2008,WTA + outl(?),21,3
08-437,cristinae,2008,WTA + outl(?),7,0
08-438,cristinae,2008,WTA + outl(?),37,0
08-492,cristinae,2008,WTA + outl(?),48,1
08-408,cristinae,2008,WTA + outl(?),27,0
08-026,podura,2008,47,20,1
08-027,podura,2008,46,19,1
08-450,podura,2008,Edna A,35,0
08-451,podura,2008,Edna A,20,0
08-452,podura,2008,Edna A,1,0
08-453,podura,2008,Edna A,29,0
08-454,podura,2008,Edna A,48,0
08-276,podura,2008,Edna A,44,0
08-277,podura,2008,Edna A,30,0
08-278,podura,2008,Edna A,59,0
08-279,podura,2008,Edna A,37,0
08-280,podura,2008,Edna A,10,0
08-281,podura,2008,Edna A,10,0
08-282,podura,2008,Edna A,46,0
08-309,podura,2008,Edna A,2,0
08-310,podura,2008,Edna A,11,1
08-699,podura,2008,Edna C,10,1
08-750,chumash,2008,Hw 2 pop 44,3,0
08-739,chumash,2008,HW2 pop30,5,0
08-570,chumash,2008,HW2 pop45,13,4
08-571,chumash,2008,HW2 pop45,5,0
08-713,chumash,2008,HW2 pop45,15,3
08-586,chumash,2008,NA,7,0
08-300,chumash,2008,49b,11,3
08-463,chumash,2008,49b,16,0
08-464,chumash,2008,49b,10,0
08-287,chumash,2008,Edna C,38,0
08-290,chumash,2008,Edna C,1,0
08-288,chumash,2008,Edna C,31,0
08-289,chumash,2008,Edna C,22,0
08-291,chumash,2008,Edna C,23,0
08-568,chumash,2008,Edna C,45,1
08-569,chumash,2008,Edna C,12,0
08-335,chumash,2008,HW2 pop 43 (adenost),21,0
08-336,chumash,2008,HW2 pop 43 (adenost),15,0
08-337,chumash,2008,HW2 pop 43 (adenost),16,0
08-712,chumash,2008,HW2 pop 43 (oak),24,2
08-444,petita,2008,50,12,0
08-445,petita,2008,50,26,0
08-446,petita,2008,50,20,0
08-447,petita,2008,50,16,0
08-448,petita,2008,50,16,0
08-449,petita,2008,54,20,0
08-456,knulli,2008,52,23,3
08-457,knulli,2008,52,19,2
08-458,knulli,2008,52,22,3
08-459,knulli,2008,52,14,2
08-479,knulli,2008,52,25,0
08-748,knulli,2008,52,19,0
08-460,knulli,2008,53,42,0
08-461,knulli,2008,53,42,4
08-478,knulli,2008,53,24,0
NA,knulli,2008,53,12,3
08-462,knulli,2008,big sur,25,2
08-644,poppensis,2008,Fish Rock Rd II,38,0
08-645,poppensis,2008,Fish Rock Rd II,36,0
08-646,poppensis,2008,Fish Rock Rd II,23,0
08-647,poppensis,2008,Fish Rock Rd II,13,0
08-648,poppensis,2008,Fish Rock Rd II,33,2
08-649,poppensis,2008,Fish Rock Rd II,2,0
08-650,poppensis,2008,Fish Rock Rd II,0,0
08-651,poppensis,2008,Fish Rock Rd II,0,0
08-652,poppensis,2008,Fish Rock Rd II,1,0
08-653,poppensis,2008,Fish Rock Rd II,1,0
08-654,poppensis,2008,Fish Rock Rd II,0,0
08-655,poppensis,2008,Fish Rock Rd II,0,0
08-656,poppensis,2008,Fish Rock Rd II,0,0
08-657,poppensis,2008,Fish Rock Rd II,5,0
08-658,poppensis,2008,Fish Rock Rd II,6,0
08-455,poppensis,2008,FishRockI DougFir,16,0
08-592,poppensis,2008,FishRockI DougFir,1,0
08-593,poppensis,2008,FishRockI DougFir,9,0
08-595,poppensis,2008,FishRockI DougFir,12,0
08-596,poppensis,2008,FishRockI DougFir,13,1
08-597,poppensis,2008,FishRockI DougFir,12,0
08-604,poppensis,2008,FishRockI DougFir,11,0
08-605,poppensis,2008,FishRockI DougFir,7,0
08-671,poppensis,2008,FishRockI DougFir,18,0
08-672,poppensis,2008,FishRockI DougFir,8,0
08-673,poppensis,2008,FishRockI DougFir,11,2
D261,poppensis,2008,FishRockI DougFir,27,0
D262,poppensis,2008,FishRockI DougFir,26,1
D643,poppensis,2008,FishRockI DougFir,38,0
D644,poppensis,2008,FishRockI DougFir,21,5
D646,poppensis,2008,FishRockI DougFir,19,1
D647,poppensis,2008,FishRockI DougFir,9,0
08-619,poppensis,2008,FishRockI Redw,15,1
08-620,poppensis,2008,FishRockI Redw,8,0
08-624,poppensis,2008,FishRockI Redw,22,0
08-629,poppensis,2008,FishRockI Redw,5,0
D288,poppensis,2008,FishRockI Redw,10,0
D642,poppensis,2008,FishRockI Redw,37,1
