scaf_name,chr_type,MF,MF_adj
1_Tdi_b3v08_scaf000001,A,-0.070503760157917,-0.1605038
1_Tdi_b3v08_scaf000002,A,-0.00209716114371008,-0.09209716
1_Tdi_b3v08_scaf000003,A,-0.0687067077982067,-0.1587067
1_Tdi_b3v08_scaf000004,A,0.0506051006084926,-0.03939490
1_Tdi_b3v08_scaf000005,A,0.0176695171007136,-0.07233048
1_Tdi_b3v08_scaf000006,A,-0.0221811852223325,-0.1121812
1_Tdi_b3v08_scaf000007,A,0.005458940126057,-0.08454106
1_Tdi_b3v08_scaf000008,A,0.0218812117866829,-0.06811879
1_Tdi_b3v08_scaf000009,A,-0.0348809267060225,-0.1248809
1_Tdi_b3v08_scaf000010,A,0.00930782747054754,-0.08069217
1_Tdi_b3v08_scaf000011,A,-0.0334250882336246,-0.1234251
1_Tdi_b3v08_scaf000012,A,-0.0205572432170537,-0.1105572
1_Tdi_b3v08_scaf000013,A,-0.127811371538128,-0.2178114
1_Tdi_b3v08_scaf000014,X,-0.907249772719848,-0.9972498
1_Tdi_b3v08_scaf000015,A,-0.0158838846957252,-0.1058839
1_Tdi_b3v08_scaf000016,A,0.0131577477508008,-0.07684225
1_Tdi_b3v08_scaf000017,A,0.0590322905779895,-0.03096771
1_Tdi_b3v08_scaf000018,A,-0.0585078622057801,-0.1485079
1_Tdi_b3v08_scaf000019,A,-0.0453025335724012,-0.1353025
1_Tdi_b3v08_scaf000020,X,-1.00093454337825,-1.090935
1_Tdi_b3v08_scaf000021,A,-0.0770546266321438,-0.1670546
1_Tdi_b3v08_scaf000022,A,0.0435686792878127,-0.04643132
1_Tdi_b3v08_scaf000023,A,0.0228224831145607,-0.06717752
1_Tdi_b3v08_scaf000024,A,0.0117122432851433,-0.07828776
1_Tdi_b3v08_scaf000025,A,0.0417477186538916,-0.04825228
1_Tdi_b3v08_scaf000026,A,0.0225498712158834,-0.06745013
1_Tdi_b3v08_scaf000027,A,-0.714786359990871,-0.8047864
1_Tdi_b3v08_scaf000028,A,-0.0721784984120668,-0.1621785
1_Tdi_b3v08_scaf000029,A,0.0677848965239189,-0.02221510
1_Tdi_b3v08_scaf000030,A,0.0280622857343781,-0.06193771
1_Tdi_b3v08_scaf000031,A,0.0648458874511866,-0.02515411
1_Tdi_b3v08_scaf000032,A,-0.0157320463575962,-0.1057320
1_Tdi_b3v08_scaf000033,A,-0.0635427752393868,-0.1535428
1_Tdi_b3v08_scaf000034,A,-0.00771958690711972,-0.09771959
1_Tdi_b3v08_scaf000035,A,0.0425890263525471,-0.04741097
1_Tdi_b3v08_scaf000036,A,0.0148514283336643,-0.07514857
1_Tdi_b3v08_scaf000037,A,-0.388064322411372,-0.4780643
1_Tdi_b3v08_scaf000038,A,-0.0750548085980347,-0.1650548
1_Tdi_b3v08_scaf000039,A,0.00614830572429209,-0.08385169
1_Tdi_b3v08_scaf000040,X,-0.871778465672439,-0.9617785
1_Tdi_b3v08_scaf000041,A,0.0517547822146589,-0.03824522
1_Tdi_b3v08_scaf000042,A,0.053890161072318,-0.03610984
1_Tdi_b3v08_scaf000043,A,-0.0181934469015877,-0.1081934
1_Tdi_b3v08_scaf000044,X,-0.941998099907793,-1.031998
1_Tdi_b3v08_scaf000045,A,0.0642656450327103,-0.02573435
1_Tdi_b3v08_scaf000046,A,-0.0295209324385313,-0.1195209
1_Tdi_b3v08_scaf000047,A,-0.10179739916451,-0.1917974
1_Tdi_b3v08_scaf000048,A,-0.027378335390776,-0.1173783
1_Tdi_b3v08_scaf000049,A,-0.0889706478335005,-0.1789706
1_Tdi_b3v08_scaf000050,X,-0.999065511466722,-1.089066
1_Tdi_b3v08_scaf000051,A,0.0269925688688559,-0.06300743
1_Tdi_b3v08_scaf000052,X,-0.934123916171759,-1.024124
1_Tdi_b3v08_scaf000053,A,0.0817386960124083,-0.008261304
1_Tdi_b3v08_scaf000054,X,-0.925181621097665,-1.015182
1_Tdi_b3v08_scaf000055,A,-0.0007210137458901,-0.09072101
1_Tdi_b3v08_scaf000056,A,-0.048907928009844,-0.1389079
1_Tdi_b3v08_scaf000057,A,-0.0241189664776698,-0.1141190
1_Tdi_b3v08_scaf000058,A,-0.00371127791554239,-0.09371128
1_Tdi_b3v08_scaf000059,A,-0.0260481578972198,-0.1160482
1_Tdi_b3v08_scaf000060,A,-0.130349466193661,-0.2203495
1_Tdi_b3v08_scaf000061,A,0.0331912411971277,-0.05680876
1_Tdi_b3v08_scaf000062,X,-0.976496320646612,-1.066496
1_Tdi_b3v08_scaf000063,A,-0.0382170919242315,-0.1282171
1_Tdi_b3v08_scaf000064,A,-0.0362309174420528,-0.1262309
1_Tdi_b3v08_scaf000065,X,-0.900704167303889,-0.9907042
1_Tdi_b3v08_scaf000066,A,-0.103416032144917,-0.1934160
1_Tdi_b3v08_scaf000067,X,-0.898472270426378,-0.9884723
1_Tdi_b3v08_scaf000068,A,0.0169153740156373,-0.07308463
1_Tdi_b3v08_scaf000069,X,-0.928954374313097,-1.018954
1_Tdi_b3v08_scaf000070,A,0.00378032409070112,-0.08621968
1_Tdi_b3v08_scaf000071,X,-0.87966170406225,-0.9696617
1_Tdi_b3v08_scaf000072,A,-0.0153244944920668,-0.1053245
1_Tdi_b3v08_scaf000073,A,-0.0611228939594779,-0.1511229
1_Tdi_b3v08_scaf000074,A,-0.0476944709393797,-0.1376945
1_Tdi_b3v08_scaf000075,A,0.00704609397251198,-0.08295391
1_Tdi_b3v08_scaf000076,A,-0.0523878446701863,-0.1423878
1_Tdi_b3v08_scaf000077,A,-0.0107329331304886,-0.1007329
1_Tdi_b3v08_scaf000078,A,-0.0304284226893075,-0.1204284
1_Tdi_b3v08_scaf000079,A,0.0396821313943929,-0.05031787
1_Tdi_b3v08_scaf000080,A,-0.0510734067403023,-0.1410734
1_Tdi_b3v08_scaf000081,A,0.0673214588325345,-0.02267854
1_Tdi_b3v08_scaf000082,A,-0.0351055721361803,-0.1251056
1_Tdi_b3v08_scaf000083,A,-0.038256773076345,-0.1282568
1_Tdi_b3v08_scaf000084,A,-0.00132319590450891,-0.09132320
1_Tdi_b3v08_scaf000085,A,0.0360252314895418,-0.05397477
1_Tdi_b3v08_scaf000086,A,0.0679272431546671,-0.02207276
1_Tdi_b3v08_scaf000087,A,0.0178888925911524,-0.07211111
1_Tdi_b3v08_scaf000088,A,0.0226491007665926,-0.06735090
1_Tdi_b3v08_scaf000089,A,-0.00221514341730133,-0.09221514
1_Tdi_b3v08_scaf000090,A,0.0223686456207615,-0.06763135
1_Tdi_b3v08_scaf000091,A,-0.073299044567538,-0.1632990
1_Tdi_b3v08_scaf000092,A,-0.00359232019877091,-0.09359232
1_Tdi_b3v08_scaf000093,A,-0.106025484178037,-0.1960255
1_Tdi_b3v08_scaf000094,A,0.0338527316723409,-0.05614727
1_Tdi_b3v08_scaf000095,A,0.0472862743709254,-0.04271373
1_Tdi_b3v08_scaf000096,X,-0.94861868635817,-1.038619
1_Tdi_b3v08_scaf000097,A,0.00591921615302891,-0.08408078
1_Tdi_b3v08_scaf000098,A,-0.0629837187820454,-0.1529837
1_Tdi_b3v08_scaf000099,A,0.0821802116055357,-0.007819788
1_Tdi_b3v08_scaf000100,A,-0.0216738370294425,-0.1116738
1_Tdi_b3v08_scaf000101,A,0.0751869367867175,-0.01481306
1_Tdi_b3v08_scaf000102,A,0.0509381018698799,-0.03906190
1_Tdi_b3v08_scaf000103,A,-0.0237356641770606,-0.1137357
1_Tdi_b3v08_scaf000104,A,0.0102025079731199,-0.07979749
1_Tdi_b3v08_scaf000105,A,0.0399286348823293,-0.05007137
1_Tdi_b3v08_scaf000106,A,0.047759032388513,-0.04224097
1_Tdi_b3v08_scaf000107,A,-0.00153752743468544,-0.09153753
1_Tdi_b3v08_scaf000108,A,-0.0514857172574047,-0.1414857
1_Tdi_b3v08_scaf000109,A,-0.0175761145382256,-0.1075761
1_Tdi_b3v08_scaf000110,A,0.0756500093998738,-0.01434999
